{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 11:51:13 PM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'insert_sensor_data_item', 'line_number':'49', 'message':'database names cannot contain the character ' '' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 11:51:52 PM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'insert_sensor_data_item', 'line_number':'47', 'message':'database names cannot contain the character ' '' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 11:53:50 PM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'insert_sensor_data_item', 'line_number':'47', 'message':'database names cannot contain the character ' '' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 11:54:32 PM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'insert_sensor_data_item', 'line_number':'47', 'message':'database names cannot contain the character ' '' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 11:55:23 PM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'insert_sensor_data_item', 'line_number':'48', 'message':'database names cannot contain the character ' '' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 11:56:49 PM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'insert_sensor_data_item', 'line_number':'49', 'message':'database names cannot contain the character ' '' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 11:57:30 PM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'insert_sensor_data_item', 'line_number':'50', 'message':'database names cannot contain the character ' '' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 11:59:28 PM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'insert_sensor_data_item', 'line_number':'49', 'message':'database names cannot contain the character ' '' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/24/2015 12:01:06 AM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'insert_sensor_data_item', 'line_number':'51', 'message':'database names cannot contain the character ' '' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/24/2015 12:08:15 AM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'read_sensor_data_item', 'line_number':'72', 'message':'No JSON object could be decoded' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/24/2015 12:09:36 AM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'read_sensor_data_item', 'line_number':'71', 'message':'No JSON object could be decoded' }
{ 'log_level':'WARNING  ', 'time_stamp':'12/24/2015 12:11:06 AM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'read_sensor_data_item', 'line_number':'73', 'message':'No JSON object could be decoded' }
